admin3,admin2,longitude,latitude,counts,Literacy_Rate,Urbanicity,PercentSCPoptoDistPop,PercentSTPoptoDistPop,Net_District_Domestic_Product,NLS_per_km,SPI6_March_2017,SPI6_September_2016
Ariyalur,Ariyalur,79.08,11.14,13,71.3,0.084529792,23.34,1.42,0.378761854,12.813,-2.1201458,1.1631813
Perambur Purasavakam,Chennai,80.28,13.09,136,90.2,0.999870843,16.78,0.22,7.061753963,76.54,-2.270839,-0.2795922
Coimbatore,Coimbatore,76.97,11,111,84,0.51533115,21.8,1.15,5.951035152,27.21,-1.7566711,-2.0650475
Mettupalayam,Coimbatore,77,11.25,4,84,0.51533115,21.8,1.15,5.951035152,11.631,-1.6896048,-1.861237
Pollachi,Coimbatore,77.01,10.66,7,84,0.51533115,21.8,1.15,5.951035152,9,-1.706144,-2.4197075
Chidambaram,Cuddalore,79.37,11.49,1,78,0.229567272,29.32,0.6,3.156358257,16.445,-2.5975287,1.1798193
Cuddalore,Cuddalore,79.75,11.66,4,78,0.229567272,29.32,0.6,3.156358257,24.047,-2.770741,0.7731614
Dharmapuri,Dharmapuri,78.14,12.09,15,68.5,0.182326622,16.29,4.18,2.10387451,11.517,-2.0996265,-0.55077714
Pennagaram,Dharmapuri,77.9,12.13,2,68.5,0.182326622,16.29,4.18,2.10387451,4.651,-2.3106494,-0.7870192
Palakkodu,Dharmapuri,78.04,12.35,2,68.5,0.182326622,16.29,4.18,2.10387451,9.53,-2.0826077,-0.86195207
Harur,Dharmapuri,78.5,12.09,4,68.5,0.182326622,16.29,4.18,2.10387451,6.28,-1.9239308,-0.3097718
Vedasandur,Dindigul,77.95,10.56,2,76.3,0.286255131,20.95,0.37,2.758816765,10.531,-1.9384366,-0.9697722
Palani,Dindigul,77.52,10.45,5,76.3,0.286255131,20.95,0.37,2.758816765,10.14,-1.831939,-1.6367493
Nilakkottai,Dindigul,77.85,10.16,2,76.3,0.286255131,20.95,0.37,2.758816765,11.418,-1.8324796,-1.1749833
Dindigul,Dindigul,77.97,10.36,47,76.3,0.286255131,20.95,0.37,2.758816765,12.06,-1.801447,-1.1191447
Kodaikanal,Dindigul,77.49,10.24,3,76.3,0.286255131,20.95,0.37,2.758816765,3.746,-1.6508945,-1.4745245
Erode,Erode,77.72,11.32,33,72.6,0.343049457,16.41,0.97,4.598848153,20.25,-2.327242,-1.1859497
Sriperumbudur,Kancheepuram,80.04,12.92,1,84.5,0.454210096,23.71,1.03,6.225880103,40.444,-2.3300757,-0.4089917
Kanchipuram,Kancheepuram,79.7,12.84,4,84.5,0.454210096,23.71,1.03,6.225880103,17.32,-2.0466368,-0.5602441
Chengalpattu,Kancheepuram,80.04,12.82,2,84.5,0.454210096,23.71,1.03,6.225880103,32.85,-2.5410857,-0.2901276
Vilavancode,Kanniyakumari,77.18,8.28,4,91.7,0.121452314,3.97,0.39,3.947872467,17.474,-2.2904482,-0.32156634
Kalkulam,Kanniyakumari,77.26,8.2,4,91.7,0.121452314,3.97,0.39,3.947872467,13.186,-2.0073154,0.002437372
Agasteeswaram,Kanniyakumari,77.43,8.18,19,91.7,0.121452314,3.97,0.39,3.947872467,30.842,-1.581771,-0.2055247
Kulithalai,Karur,78.4,10.82,2,75.6,0.165255263,20.8,0.05,1.593628668,8.848,-2.137513,-0.5106055
Karur,Karur,78.07,10.97,11,75.6,0.165255263,20.8,0.05,1.593628668,12.65,-2.1463141,-0.6727746
Krishnagiri,Krishnagiri,78.22,12.52,18,71.5,0.414130837,14.22,1.19,2.827237234,10.15,-2.039747,-0.85577285
Hosur,Krishnagiri,77.86,12.73,9,71.5,0.414130837,14.22,1.19,2.827237234,16.439,-1.849645,-1.0568224
Tirumangalam,Madurai,77.98,9.82,2,83.5,0.317311313,13.46,0.37,4.045284501,9.651,-2.057407,-0.6363453
Melur,Madurai,78.34,10.03,2,83.5,0.317311313,13.46,0.37,4.045284501,10.444,-1.9751278,-0.1631959
Usilampatti,Madurai,77.79,9.97,1,83.5,0.317311313,13.46,0.37,4.045284501,7.389,-1.9296246,-1.023746
Vadipatti,Madurai,77.96,10.08,1,83.5,0.317311313,13.46,0.37,4.045284501,11.283,-1.842878,-1.070868
Madurai,Madurai,78.12,9.92,45,83.5,0.317311313,13.46,0.37,4.045284501,28.283,-2.1320002,-0.8362806
Sirkazhi,Nagappattinam,79.74,11.24,2,83.6,0.11247778,31.54,0.23,1.539303345,12.158,-2.5087261,1.2465523
