Name,Long,Lat,Total,Literacy_Rate,Urbanicity,PercentSCPoptoDistPop,PercentSTPoptoDistPop,Net_District_Domestic_Product,nls_sqkm,SPI6_March_2017,SPI6_September_2016
Ariyalur,79.07861,11.14015,13,71.3,0.084529792,23.34,1.42,0.378761854,10.969,-2.2284522,1.3294166
Chennai,80.28251648,13.08362007,133,90.2,0.999870843,16.78,0.22,7.061753963,71.451,-2.2694218,-0.20452484
Coimbatore,76.96629333,10.9941597,125,84,0.51533115,21.8,1.15,5.951035152,15.801,-1.7388997,-2.3515313
Cuddalore,79.75891876,11.74514008,6,78,0.229567272,29.32,0.6,3.156358257,17.7,-2.607219,0.9811229
Dharmapuri,78.15856171,12.12784958,29,68.5,0.182326622,16.29,4.18,2.10387451,7.276,-2.10476,-0.55881596
Dindigul,77.96951294,10.36205006,59,76.3,0.286255131,20.95,0.37,2.758816765,9.289,-1.8385284,-1.2734113
Erode,77.71717834,11.34058952,35,72.6,0.343049457,16.41,0.97,4.598848153,10.255,-2.1899798,-1.4189589
Kancheepuram,79.70114136,12.82423019,13,84.5,0.454210096,23.71,1.03,6.225880103,22.964,-2.4697177,-0.24670255
Kanniyakumari,77.54860687,8.093970299,27,91.7,0.121452314,3.97,0.39,3.947872467,16.334,-1.9897547,-0.15522376
Karur,78.0772171,10.9592104,14,75.6,0.165255263,20.8,0.05,1.593628668,10.827,-2.1499119,-0.5975598
Krishnagiri,78.21408081,12.52645969,32,71.5,0.414130837,14.22,1.19,2.827237234,8.407,-2.0581546,-1.0206019
Madurai,78.12416077,9.92416954,58,83.5,0.317311313,13.46,0.37,4.045284501,12.912,-1.9929479,-0.75538355
Nagappattinam,79.84062195,10.77690029,17,83.6,0.11247778,31.54,0.23,1.539303345,11.251,-2.4155276,1.110966
Namakkal,78.16764832,11.2193203,37,74.6,0.353421128,20,3.3,2.981135935,15.023,-2.3612792,-0.49134368
Perambalur,78.79293823,10.38486004,16,77.2,0.151351351,31.01,0.46,0.303052294,9.402,-2.341752,0.45597053
Pudukkottai,78.83724213,9.360219955,52,80.7,0.136254019,17.6,0.08,1.60098974,9.423,-2.1472352,0.37490672
Ramanathapuram,78.14601,11.664325,56,72.9,0.124333008,18.4,0.08,1.255523196,6.777,-1.973969,0.14831212
Salem,78.48560333,9.85021019,68,79.9,0.320326072,16.67,3.43,4.623715925,15.869,-2.1969688,-0.39542958
Sivaganga,79.12905121,10.76861,18,82.6,0.351668521,17.01,0.06,1.351040975,9.311,-2.1332562,0.36720985
Thanjavur,76.64588165,11.45070267,65,85.2,0.210476537,18.91,0.15,2.495994646,13.2,-2.212859,0.91773933
The Nilgiris,78.88025665,11.23408031,13,74.3,0.269864142,32.08,4.46,0.981977704,6.506,-1.8895518,-1.9751339
Theni,77.43023682,9.9573698,24,77.3,0.356081777,20.72,0.15,1.159170051,7.721,-2.112109,-1.2603376
Thiruvallur,79.91172791,13.12300014,5,82.5,0.519721087,17.14,0.67,0.89648053,23.831,-2.3332436,-0.37787113
Thiruvarur,79.63678741,10.77402973,26,74.2,0.053615161,22.94,3.69,4.371895637,10.411,-2.3821619,0.96358454
Thoothukkudi,78.14324951,8.806269646,30,84,0.306270341,15.97,0.22,4.144454403,10.389,-1.8849894,-0.39771113
Tiruchirappalli,78.69473267,10.80574989,103,82.9,0.388632545,22.04,1.27,4.545754096,13.331,-2.1373858,-0.12846404
Tirunelveli,77.73348999,8.726400375,73,86.2,0.19191288,34.08,0.24,6.180901032,11.91,-2.0500329,-0.83751506
Tiruppur,77.34113,11.10855,40,83.2,0.291006399,19.88,0.28,2.237430812,14.434,-2.0287597,-1.8254611
Tiruvannamalai,79.07476807,12.23528004,31,78.7,0.152846715,18.51,0.33,2.826761776,9.36,-2.1944325,0.12143809
Vellore,79.13265991,12.91351986,40,79.2,0.312957337,21.85,1.85,5.520419977,12.532,-2.1664302,-0.3156189
Viluppuram,79.50211334,11.93782043,4,71.9,0.152033081,29.37,2.16,2.762160124,12.172,-2.514487,0.38719985
Virudunagar,77.9536972,9.58920002,18,80.2,0.443664807,20.59,0.12,3.57248428,10.176,-2.104384,-0.66368455
