District,Lat,Lon,Counts,SPI6_201609,SPI6_201703,nls_sqkm
Adilabad,19.658,78.534,10,1.4549327,-0.54150426,5.316421978
Agar Malwa,23.714,76.009,1,1.9002062,1.2573256,0.896131943
Agra,27.182,78.006,35,0.47651264,0.1806731,10.3810412
Aizawl,23.728,92.717,5,0.020695351,1.1953756,0.897038954
Ajmer,26.412,74.686,19,1.5160027,1.9059509,5.874095782
Akola,20.701,77.066,5,1.0429815,-0.3723324,6.196804011
Alappuzha,9.514,76.328,8,-1.1747947,-2.385819,16.36036883
Aligarh,27.881,78.075,29,1.0835416,-0.26815757,4.712796062
Alipurduar,26.682,89.347,3,1.1487577,0.2323222,4.137318694
Alirajpur,22.306,74.355,1,0.8463159,1.1339679,0.660031227
Allahabad,25.446,81.854,32,1.5938209,-0.23950219,8.123120906
Almora,29.597,79.659,2,0.7686884,-0.91118515,3.396248913
Alwar,27.715,76.452,13,0.9439333,0.045456745,10.80039474
Ambala,30.374,76.863,44,0.5884305,0.74254155,15.93217859
Ambedkar Nagar,26.43,82.534,3,0.10850816,-0.3178945,3.378527296
Amethi,26.228,81.771,8,0.7665421,-0.2952484,2.54808999
Amravati,20.933,77.75,2,0.94950616,-0.36193156,4.755405041
Amreli,21.501,71.211,5,-0.45936227,1.9638857,5.743955571
Amritsar,31.643,74.869,151,1.3047432,0.23290704,16.4199408
Amroha,28.864,78.397,8,0.57803226,-0.4440885,4.745138271
Anand,22.511,72.935,4,0.67542785,2.2918134,10.24566123
Anantapur,14.519,77.607,7,-0.5735196,-2.4387782,6.201217667
Anantnag,33.739,75.165,145,0.51943916,0.3263133,0.922558927
Anuppur,23.114,81.697,1,1.3163544,-0.9015469,6.026389501
Araria,26.215,87.357,6,1.5134778,0.90776336,1.543045626
Aravalli,23.464,73.3,2,1.4308336,2.363619,4.315117687
Ariyalur,11.138,79.076,13,1.3294166,-2.2284522,10.56790737
Arwal,25.244,84.666,4,1.5108111,0.39546615,0.867526631
Ashoknagar,24.577,77.731,1,1.7505752,0.57100904,1.032114607
Auraiya,26.465,79.509,2,0.5298624,-0.27707335,5.574692094
Azamgarh,26.002,83.108,2,0.7376107,-0.32834727,1.966139846
Bagalkot,16.245,75.567,8,0.48188332,-1.7071701,8.660737573
Bageshwar,29.858,79.719,3,0.41115522,-0.8817739,1.193605136
Baghpat,28.98,77.229,9,0.29493037,-0.4737,8.078255327
Bahraich,27.574,81.595,2,0.10599731,-0.61442035,0.251979316
Baksa,26.645,91.384,9,-0.941448,-0.9113014,0.38577891
Balaghat,21.711,80.306,3,0.43174514,-0.91068965,1.785423285
Balangir,20.656,83.37,10,-0.4924102,-0.110647194,1.719025093
Ballia,25.78,84.079,10,0.9695639,-0.092065044,1.848114765
Balod,20.731,81.206,1,0.29432902,-0.23359273,4.040848781
Banas Kantha,24.237,72.228,12,0.37021306,2.3197274,4.567618924
Banka,24.936,86.95,3,0.96915495,-0.39619324,0.517276083
